date,year,division_code,division_name,inflation,rank
2023-01-01,2023,7.0,transport,1.0832343280452903,9.0
2023-01-01,2023,2.0,alcoholic_beverages_and_tobacco,0.651513667091197,10.0
2023-01-01,2023,3.0,clothing_and_footwear,0.2323710787380362,11.0
2023-01-01,2023,12.0,insurance_and_financial_services,0.1514119161178051,12.0
2023-01-01,2023,8.0,information_and_communication,-2.931874519189692,13.0
2024-01-01,2024,11.0,restaurants_and_accommodation_services,3.117926663648696,1.0
2024-01-01,2024,4.0,housing_utilities_gas_and_other_fuels,3.007118621515548,2.0
2024-01-01,2024,13.0,personal_care_social_protection_and_miscellaneous,3.0033522610658725,3.0
2024-01-01,2024,1.0,food_and_beverages,1.978949676570552,4.0
2024-01-01,2024,9.0,recreation_sport_and_culture,1.8154634771465168,5.0
2024-01-01,2024,6.0,health,1.7943050318554032,6.0
2024-01-01,2024,10.0,education,1.544117647058818,7.0
2024-01-01,2024,7.0,transport,0.9471792035398164,8.0
2024-01-01,2024,5.0,household_furnishings_equipment_and_maintenance,0.743050487626884,9.0
2024-01-01,2024,2.0,alcoholic_beverages_and_tobacco,0.6862315666520624,10.0
2024-01-01,2024,12.0,insurance_and_financial_services,0.2343336608965129,11.0
2024-01-01,2024,3.0,clothing_and_footwear,-0.2585822559072803,12.0
2024-01-01,2024,8.0,information_and_communication,-1.5498414934836058,13.0
